*######################################################*
#                                                      #
#                                                      #
#                    Printing C_nt                     #
#                                                      #
#                                                      #
*######################################################*
*##################        [0. 0. 0.]        ###################*
MO=     0 AO=     0 C_nt=   0.985464
MO=     0 AO=     1 C_nt=   0.000804
MO=     0 AO=     4 C_nt=  -0.002492
MO=     0 AO=     5 C_nt=  -0.004078
MO=     0 AO=     6 C_nt=  -0.004078
MO=     0 AO=     8 C_nt=  -0.014170
MO=     0 AO=     9 C_nt=   0.000799
MO=     0 AO=    10 C_nt=  -0.007717
MO=     0 AO=    11 C_nt=  -0.007717
MO=     0 AO=    12 C_nt=  -0.006393
MO=     0 AO=    14 C_nt=  -0.008919
MO=     0 AO=    15 C_nt=  -0.006393
MO=     0 AO=    16 C_nt=  -0.008919
*##################        [0. 0. 0.]        ###################*
MO=     1 AO=     0 C_nt=  -0.000701
MO=     1 AO=     1 C_nt=   0.012839
MO=     1 AO=     2 C_nt=   0.005195
MO=     1 AO=     3 C_nt=   0.005195
MO=     1 AO=     4 C_nt=   0.245580
MO=     1 AO=     9 C_nt=   0.914721
MO=     1 AO=    12 C_nt=  -0.002331
MO=     1 AO=    13 C_nt=   0.017841
MO=     1 AO=    15 C_nt=  -0.002331
MO=     1 AO=    17 C_nt=   0.017841
*##################        [0. 0. 0.]        ###################*
MO=     2 AO=     0 C_nt=  -0.000468
MO=     2 AO=     1 C_nt=   0.001011
MO=     2 AO=     2 C_nt=  -0.050151
MO=     2 AO=     3 C_nt=  -0.052106
MO=     2 AO=     5 C_nt=  -0.157100
MO=     2 AO=    10 C_nt=   0.932209
MO=     2 AO=    12 C_nt=  -0.013593
MO=     2 AO=    13 C_nt=   0.000551
MO=     2 AO=    16 C_nt=  -0.003115
*##################        [0. 0. 0.]        ###################*
MO=     3 AO=     0 C_nt=  -0.000468
MO=     3 AO=     1 C_nt=   0.001011
MO=     3 AO=     2 C_nt=  -0.052106
MO=     3 AO=     3 C_nt=  -0.050151
MO=     3 AO=     6 C_nt=  -0.157100
MO=     3 AO=    11 C_nt=   0.932209
MO=     3 AO=    14 C_nt=  -0.003115
MO=     3 AO=    15 C_nt=  -0.013593
MO=     3 AO=    17 C_nt=   0.000551
*##################        [0. 0. 0.]        ###################*
MO=     4 AO=     0 C_nt=   0.000155
MO=     4 AO=     1 C_nt=  -0.051114
MO=     4 AO=     3 C_nt=  -0.055392
MO=     4 AO=     4 C_nt=  -0.023746
MO=     4 AO=     5 C_nt=  -0.209868
MO=     4 AO=     7 C_nt=   0.020546
MO=     4 AO=     9 C_nt=   0.000401
MO=     4 AO=    10 C_nt=  -0.014971
MO=     4 AO=    12 C_nt=   0.936928
MO=     4 AO=    15 C_nt=  -0.003003
MO=     4 AO=    16 C_nt=  -0.001077
MO=     4 AO=    17 C_nt=   0.001379
*##################        [0. 0. 0.]        ###################*
MO=     5 AO=     2 C_nt=   0.011006
MO=     5 AO=     4 C_nt=  -0.134825
MO=     5 AO=     5 C_nt=   0.043959
MO=     5 AO=     7 C_nt=   0.235883
MO=     5 AO=     9 C_nt=   0.021700
MO=     5 AO=    10 C_nt=  -0.003214
MO=     5 AO=    13 C_nt=   0.914935
MO=     5 AO=    15 C_nt=   0.000116
MO=     5 AO=    16 C_nt=  -0.006150
MO=     5 AO=    17 C_nt=   0.021676
*##################        [0. 0. 0.]        ###################*
MO=     6 AO=     0 C_nt=  -0.001669
MO=     6 AO=     1 C_nt=  -0.052483
MO=     6 AO=     3 C_nt=  -0.049849
MO=     6 AO=     6 C_nt=  -0.009190
MO=     6 AO=     8 C_nt=  -0.215689
MO=     6 AO=    11 C_nt=  -0.003298
MO=     6 AO=    14 C_nt=   0.935355
MO=     6 AO=    15 C_nt=  -0.000805
MO=     6 AO=    16 C_nt=  -0.021655
MO=     6 AO=    17 C_nt=  -0.000922
*##################        [0. 0. 0.]        ###################*
MO=     7 AO=     0 C_nt=   0.000155
MO=     7 AO=     1 C_nt=  -0.051114
MO=     7 AO=     2 C_nt=  -0.055392
MO=     7 AO=     4 C_nt=  -0.023746
MO=     7 AO=     6 C_nt=  -0.209868
MO=     7 AO=     7 C_nt=  -0.020546
MO=     7 AO=     9 C_nt=   0.000401
MO=     7 AO=    11 C_nt=  -0.014971
MO=     7 AO=    12 C_nt=  -0.003003
MO=     7 AO=    13 C_nt=   0.001379
MO=     7 AO=    14 C_nt=  -0.001077
MO=     7 AO=    15 C_nt=   0.936928
*##################        [0. 0. 0.]        ###################*
MO=     8 AO=     0 C_nt=  -0.001669
MO=     8 AO=     1 C_nt=  -0.052483
MO=     8 AO=     2 C_nt=  -0.049849
MO=     8 AO=     5 C_nt=  -0.009190
MO=     8 AO=     8 C_nt=  -0.215689
MO=     8 AO=    10 C_nt=  -0.003298
MO=     8 AO=    12 C_nt=  -0.000805
MO=     8 AO=    13 C_nt=  -0.000922
MO=     8 AO=    14 C_nt=  -0.021655
MO=     8 AO=    16 C_nt=   0.935355
*##################        [0. 0. 0.]        ###################*
MO=     9 AO=     3 C_nt=   0.011006
MO=     9 AO=     4 C_nt=  -0.134825
MO=     9 AO=     6 C_nt=   0.043959
MO=     9 AO=     7 C_nt=  -0.235883
MO=     9 AO=     9 C_nt=   0.021700
MO=     9 AO=    11 C_nt=  -0.003214
MO=     9 AO=    12 C_nt=   0.000116
MO=     9 AO=    13 C_nt=   0.021676
MO=     9 AO=    14 C_nt=  -0.006150
MO=     9 AO=    17 C_nt=   0.914935
*##################        [1. 0. 0.]        ###################*
MO=     0 AO=     0 C_nt=  -0.004857
MO=     0 AO=     1 C_nt=  -0.000810
MO=     0 AO=     2 C_nt=  -0.020661
MO=     0 AO=     4 C_nt=  -0.006057
MO=     0 AO=     5 C_nt=  -0.002884
MO=     0 AO=     6 C_nt=  -0.002278
MO=     0 AO=     7 C_nt=   0.010337
MO=     0 AO=     8 C_nt=  -0.007033
MO=     0 AO=     9 C_nt=   0.000184
MO=     0 AO=    10 C_nt=   0.000231
MO=     0 AO=    11 C_nt=   0.000188
MO=     0 AO=    12 C_nt=   0.002190
MO=     0 AO=    13 C_nt=   0.004073
MO=     0 AO=    14 C_nt=   0.003076
MO=     0 AO=    15 C_nt=   0.000283
*##################        [1. 0. 0.]        ###################*
MO=     1 AO=     0 C_nt=  -0.000701
MO=     1 AO=     1 C_nt=   0.012839
MO=     1 AO=     2 C_nt=  -0.005195
MO=     1 AO=     3 C_nt=   0.005195
MO=     1 AO=     4 C_nt=  -0.004268
MO=     1 AO=     5 C_nt=  -0.011484
MO=     1 AO=     7 C_nt=   0.005688
MO=     1 AO=     9 C_nt=   0.000451
MO=     1 AO=    10 C_nt=  -0.000445
MO=     1 AO=    12 C_nt=  -0.002331
MO=     1 AO=    13 C_nt=  -0.017841
MO=     1 AO=    15 C_nt=  -0.002058
MO=     1 AO=    16 C_nt=  -0.003584
MO=     1 AO=    17 C_nt=   0.000688
*##################        [1. 0. 0.]        ###################*
MO=     2 AO=     0 C_nt=   0.000468
MO=     2 AO=     1 C_nt=  -0.001011
MO=     2 AO=     2 C_nt=  -0.050151
MO=     2 AO=     3 C_nt=   0.052106
MO=     2 AO=     4 C_nt=  -0.007342
MO=     2 AO=     5 C_nt=  -0.015045
MO=     2 AO=     7 C_nt=   0.019492
MO=     2 AO=     9 C_nt=   0.000852
MO=     2 AO=    10 C_nt=  -0.008610
MO=     2 AO=    12 C_nt=   0.013593
MO=     2 AO=    13 C_nt=   0.000551
MO=     2 AO=    15 C_nt=  -0.002491
MO=     2 AO=    16 C_nt=  -0.000541
MO=     2 AO=    17 C_nt=  -0.000865
*##################        [1. 0. 0.]        ###################*
MO=     3 AO=     0 C_nt=  -0.000468
MO=     3 AO=     1 C_nt=   0.001011
MO=     3 AO=     2 C_nt=   0.052106
MO=     3 AO=     3 C_nt=  -0.050151
MO=     3 AO=     6 C_nt=  -0.003814
MO=     3 AO=     8 C_nt=   0.001364
MO=     3 AO=    11 C_nt=  -0.002363
MO=     3 AO=    14 C_nt=  -0.003115
MO=     3 AO=    15 C_nt=  -0.000774
MO=     3 AO=    16 C_nt=   0.000127
MO=     3 AO=    17 C_nt=   0.001522
*##################        [1. 0. 0.]        ###################*
MO=     4 AO=     0 C_nt=  -0.002791
MO=     4 AO=     1 C_nt=   0.000801
MO=     4 AO=     2 C_nt=   0.000912
MO=     4 AO=     3 C_nt=  -0.007957
MO=     4 AO=     4 C_nt=  -0.003140
MO=     4 AO=     5 C_nt=  -0.005690
MO=     4 AO=     7 C_nt=   0.005019
MO=     4 AO=     9 C_nt=   0.001119
MO=     4 AO=    10 C_nt=  -0.001191
MO=     4 AO=    12 C_nt=   0.019991
MO=     4 AO=    13 C_nt=   0.006385
MO=     4 AO=    15 C_nt=  -0.000676
MO=     4 AO=    16 C_nt=   0.000114
*##################        [1. 0. 0.]        ###################*
MO=     5 AO=     0 C_nt=   0.006693
MO=     5 AO=     1 C_nt=  -0.005081
MO=     5 AO=     2 C_nt=  -0.004091
MO=     5 AO=     3 C_nt=  -0.004545
MO=     5 AO=     4 C_nt=  -0.007848
MO=     5 AO=     5 C_nt=   0.010552
MO=     5 AO=     7 C_nt=   0.014495
MO=     5 AO=     9 C_nt=  -0.001010
MO=     5 AO=    10 C_nt=   0.003075
MO=     5 AO=    12 C_nt=  -0.008911
MO=     5 AO=    13 C_nt=   0.034357
MO=     5 AO=    15 C_nt=   0.000409
MO=     5 AO=    16 C_nt=   0.002015
MO=     5 AO=    17 C_nt=  -0.000107
*##################        [1. 0. 0.]        ###################*
MO=     6 AO=     0 C_nt=  -0.001959
MO=     6 AO=     1 C_nt=  -0.009012
MO=     6 AO=     2 C_nt=   0.001945
MO=     6 AO=     3 C_nt=   0.001308
MO=     6 AO=     8 C_nt=  -0.007867
MO=     6 AO=    11 C_nt=  -0.000701
MO=     6 AO=    14 C_nt=   0.021379
MO=     6 AO=    16 C_nt=  -0.002534
MO=     6 AO=    17 C_nt=   0.001019
*##################        [1. 0. 0.]        ###################*
MO=     7 AO=     0 C_nt=   0.000155
MO=     7 AO=     1 C_nt=  -0.051114
MO=     7 AO=     2 C_nt=   0.055392
MO=     7 AO=     4 C_nt=   0.000517
MO=     7 AO=     5 C_nt=   0.001665
MO=     7 AO=     6 C_nt=  -0.004780
MO=     7 AO=     7 C_nt=  -0.000883
MO=     7 AO=     8 C_nt=  -0.000282
MO=     7 AO=     9 C_nt=   0.001602
MO=     7 AO=    10 C_nt=   0.000289
MO=     7 AO=    11 C_nt=  -0.000609
MO=     7 AO=    12 C_nt=  -0.003003
MO=     7 AO=    13 C_nt=  -0.001379
MO=     7 AO=    14 C_nt=  -0.001077
MO=     7 AO=    15 C_nt=  -0.002231
MO=     7 AO=    16 C_nt=   0.000436
*##################        [1. 0. 0.]        ###################*
MO=     8 AO=     0 C_nt=   0.001669
MO=     8 AO=     1 C_nt=   0.052483
MO=     8 AO=     2 C_nt=  -0.049849
MO=     8 AO=     4 C_nt=  -0.012515
MO=     8 AO=     5 C_nt=   0.001701
MO=     8 AO=     6 C_nt=  -0.002357
MO=     8 AO=     7 C_nt=   0.013977
MO=     8 AO=     8 C_nt=  -0.023437
MO=     8 AO=     9 C_nt=  -0.000785
MO=     8 AO=    10 C_nt=  -0.000358
MO=     8 AO=    11 C_nt=  -0.002583
MO=     8 AO=    12 C_nt=   0.000805
MO=     8 AO=    13 C_nt=  -0.000922
MO=     8 AO=    14 C_nt=   0.021655
MO=     8 AO=    15 C_nt=  -0.000628
MO=     8 AO=    16 C_nt=  -0.008768
*##################        [1. 0. 0.]        ###################*
MO=     9 AO=     3 C_nt=   0.011006
MO=     9 AO=     4 C_nt=  -0.001391
MO=     9 AO=     5 C_nt=   0.000396
MO=     9 AO=     6 C_nt=  -0.000573
MO=     9 AO=     7 C_nt=   0.001915
MO=     9 AO=     8 C_nt=  -0.011146
MO=     9 AO=     9 C_nt=   0.001081
MO=     9 AO=    10 C_nt=  -0.003632
MO=     9 AO=    11 C_nt=  -0.001510
MO=     9 AO=    12 C_nt=   0.000116
MO=     9 AO=    13 C_nt=  -0.021676
MO=     9 AO=    14 C_nt=  -0.006150
MO=     9 AO=    17 C_nt=   0.000465
*##################        [0. 1. 0.]        ###################*
MO=     0 AO=     0 C_nt=  -0.004857
MO=     0 AO=     1 C_nt=  -0.000810
MO=     0 AO=     3 C_nt=  -0.020661
MO=     0 AO=     4 C_nt=  -0.006057
MO=     0 AO=     5 C_nt=  -0.002278
MO=     0 AO=     6 C_nt=  -0.002884
MO=     0 AO=     7 C_nt=  -0.010337
MO=     0 AO=     8 C_nt=  -0.007033
MO=     0 AO=     9 C_nt=   0.000184
MO=     0 AO=    10 C_nt=   0.000188
MO=     0 AO=    11 C_nt=   0.000231
