*######################################################*
#                                                      #
#                                                      #
#                   Printing B_iml                     #
#                     aka WOOP                         #
#                                                      #
*######################################################*
MO=  0 | AO_m=  0 [ 0, 0, 0] | AO_l=  0 [ 0, 0, 0] | B_iml=   1.942614
MO=  0 | AO_m=  2 [ 1, 0, 0] | AO_l=  2 [ 1, 0, 0] | B_iml=   0.000845
MO=  0 | AO_m=  3 [ 0, 1, 0] | AO_l=  3 [ 0, 1, 0] | B_iml=   0.000845
MO=  0 | AO_m=  1 [ 0, 0, 1] | AO_l=  1 [ 0, 0, 1] | B_iml=   0.000845
MO=  0 | AO_m=  4 [ 0, 0, 1] | AO_l=  4 [ 0, 0, 1] | B_iml=   0.000241
MO=  0 | AO_m=  2 [-1, 0, 0] | AO_l=  2 [-1, 0, 0] | B_iml=   0.000845
MO=  0 | AO_m=  3 [ 0,-1, 0] | AO_l=  3 [ 0,-1, 0] | B_iml=   0.000845
MO=  0 | AO_m=  1 [ 0, 0,-1] | AO_l=  1 [ 0, 0,-1] | B_iml=   0.000845
MO=  1 | AO_m=  1 [ 0, 0, 0] | AO_l=  1 [ 0, 0, 0] | B_iml=   0.000335
MO=  1 | AO_m=  4 [ 0, 0, 0] | AO_l=  4 [ 0, 0, 0] | B_iml=   0.150640
MO=  1 | AO_m=  9 [ 0, 0, 0] | AO_l=  9 [ 0, 0, 0] | B_iml=   1.676522
MO=  1 | AO_m= 13 [ 0, 0, 0] | AO_l= 13 [ 0, 0, 0] | B_iml=   0.000934
MO=  1 | AO_m= 17 [ 0, 0, 0] | AO_l= 17 [ 0, 0, 0] | B_iml=   0.000934
MO=  1 | AO_m=  1 [ 1, 0, 0] | AO_l=  1 [ 1, 0, 0] | B_iml=   0.000335
MO=  1 | AO_m=  5 [ 1, 0, 0] | AO_l=  5 [ 1, 0, 0] | B_iml=   0.000249
MO=  1 | AO_m= 13 [ 1, 0, 0] | AO_l= 13 [ 1, 0, 0] | B_iml=   0.000934
MO=  1 | AO_m=  1 [ 0, 1, 0] | AO_l=  1 [ 0, 1, 0] | B_iml=   0.000335
MO=  1 | AO_m=  6 [ 0, 1, 0] | AO_l=  6 [ 0, 1, 0] | B_iml=   0.000249
MO=  1 | AO_m= 17 [ 0, 1, 0] | AO_l= 17 [ 0, 1, 0] | B_iml=   0.000934
MO=  1 | AO_m=  4 [ 0, 0, 1] | AO_l=  4 [ 0, 0, 1] | B_iml=   0.000662
MO=  1 | AO_m=  9 [ 0, 0, 1] | AO_l=  9 [ 0, 0, 1] | B_iml=   0.002628
MO=  1 | AO_m=  5 [-1, 0, 0] | AO_l=  5 [-1, 0, 0] | B_iml=   0.000249
MO=  1 | AO_m=  6 [ 0,-1, 0] | AO_l=  6 [ 0,-1, 0] | B_iml=   0.000249
MO=  1 | AO_m=  4 [ 0, 0,-1] | AO_l=  4 [ 0, 0,-1] | B_iml=   0.150640
MO=  1 | AO_m=  9 [ 0, 0,-1] | AO_l=  9 [ 0, 0,-1] | B_iml=   0.002628
MO=  1 | AO_m= 13 [ 0, 0,-1] | AO_l= 13 [ 0, 0,-1] | B_iml=   0.000934
MO=  1 | AO_m= 17 [ 0, 0,-1] | AO_l= 17 [ 0, 0,-1] | B_iml=   0.000934
MO=  2 | AO_m=  2 [ 0, 0, 0] | AO_l=  2 [ 0, 0, 0] | B_iml=   0.005203
MO=  2 | AO_m=  3 [ 0, 0, 0] | AO_l=  3 [ 0, 0, 0] | B_iml=   0.005710
MO=  2 | AO_m=  5 [ 0, 0, 0] | AO_l=  5 [ 0, 0, 0] | B_iml=   0.094048
MO=  2 | AO_m= 10 [ 0, 0, 0] | AO_l= 10 [ 0, 0, 0] | B_iml=   1.748853
MO=  2 | AO_m= 12 [ 0, 0, 0] | AO_l= 12 [ 0, 0, 0] | B_iml=   0.000958
MO=  2 | AO_m=  2 [ 1, 0, 0] | AO_l=  2 [ 1, 0, 0] | B_iml=   0.005203
MO=  2 | AO_m=  3 [ 1, 0, 0] | AO_l=  3 [ 1, 0, 0] | B_iml=   0.005710
MO=  2 | AO_m=  5 [ 1, 0, 0] | AO_l=  5 [ 1, 0, 0] | B_iml=   0.001107
MO=  2 | AO_m=  7 [ 1, 0, 0] | AO_l=  7 [ 1, 0, 0] | B_iml=   0.000634
MO=  2 | AO_m= 12 [ 1, 0, 0] | AO_l= 12 [ 1, 0, 0] | B_iml=   0.000958
MO=  2 | AO_m=  2 [ 0, 1, 0] | AO_l=  2 [ 0, 1, 0] | B_iml=   0.005203
MO=  2 | AO_m=  3 [ 0, 1, 0] | AO_l=  3 [ 0, 1, 0] | B_iml=   0.005710
MO=  2 | AO_m= 10 [ 0, 0, 1] | AO_l= 10 [ 0, 0, 1] | B_iml=   0.000937
MO=  2 | AO_m=  3 [-1, 0, 0] | AO_l=  3 [-1, 0, 0] | B_iml=   0.000238
MO=  2 | AO_m=  5 [-1, 0, 0] | AO_l=  5 [-1, 0, 0] | B_iml=   0.001107
